"Year","Sample","Temp_range","Temp_flag","moisture","moisture_units","moisture_flag","Q10","Species","Latitude","Longitude","Manipulation","Ecosystem_type","Biome","Source","Incubation","notes","StudyName","DOI"
,,,,,,,2,"CO2","34_55'N","77_5'W",,"peatland",,"Bridgham1991","lab",,"Bridgham1991","https://doi.org/10.1016/0038-0717(92)90058-6"
,,,,,,,3,"CH4","34_55'N","77_5'W",,"peatland",,"Bridgham1991","lab",,"Bridgham1991","https://doi.org/10.1016/0038-0717(92)90058-6"
,"spruce","5_15",,,,,1.44,"CH4",,,,,,"ButterbachBahl2002","field",,"ButterbachBahl2002","https://doi.org/10.1023/A:1015856617553"
,"spruce","5_15",,,,,1.33,"CH4",,,"limed",,,"ButterbachBahl2002","field",,"ButterbachBahl2002","https://doi.org/10.1023/A:1015856617553"
,"beech","5_15",,,,,1.48,"CH4",,,,,,"ButterbachBahl2002","field",,"ButterbachBahl2002","https://doi.org/10.1023/A:1015856617553"
,"PR","8_35",,"0.65","g water g-1",,1.25,"CO2","18.3N","65.8W",,"tropical forest",,"Chari2021","lab","oxic","Chari2021","https://doi.org/10.1016/j.soilbio.2021.108235"
,"PR","8_36",,"0.65","g water g-1",,1.28,"CO2","18.3N","65.8W",,"tropical forest",,"Chari2021","lab","anoxic","Chari2021","https://doi.org/10.1016/j.soilbio.2021.108235"
,"CA","8_37",,"0.52","g water g-1",,1.29,"CO2","38.1N","121.5W",,"peatland",,"Chari2021","lab","oxic","Chari2021","https://doi.org/10.1016/j.soilbio.2021.108235"
,"CA","8_38",,"0.52","g water g-1",,1.36,"CO2","38.1N","121.5W",,"peatland",,"Chari2021","lab","anoxic","Chari2021","https://doi.org/10.1016/j.soilbio.2021.108235"
"2006","Sphagnum","4_24",,,,,3.2,"CH4","68_21'N","18_49'E",,"peatland",,"Chari2021","lab",,"Lupascu2018","https://doi.org/10.1657/1938-4246-44.4.469"
"1998",,"10_20",,,,,2.8,,,,,"agriculture",,"Fey2000","lab",,"Fey2000","https://doi.org/10.1128/AEM.66.11.4790-4797.2000"
"1998",,"27_37",,,,,1.8,,,,,"agriculture",,"Fey2000","lab",,"Fey2000","https://doi.org/10.1128/AEM.66.11.4790-4797.2000"
"2008",,"4_15",,"55.6","percent WFPS",,3.79,"CO2","37_37'N","101_120'E",,"meadow",,"Jiang2010","field",,"Jiang2010","https://doi.org/10.1016/j.atmosenv.2010.03.030"
"2008",,"4_15",,"55.6","percent WFPS",,3.29,"CH4","37_37'N","101_120'E",,"meadow",,"Jiang2010","field",,"Jiang2010","https://doi.org/10.1016/j.atmosenv.2010.03.030"
"1990","surface peat","10_20",,,,,4.7,"CH4","51_28.2'N","80_37'W",,"fen",,"Lai2009","lab",,"Valentine1994","https://doi.org/10.1029/93JD00391"
"1990","subsurface peat","10_21",,,,,1.7,"CH4","51_30.7'N","80_52.8'W",,"fen",,"Lai2009","lab",,"Valentine1994","https://doi.org/10.1029/93JD00391"
,"KLTS","0_35",,,,,16,"CH4",,,,"peatlands",,"Lai2009","lab",,"Dunfield1993","https://doi.org/10.1016/0038-0717(93)90130-4"
,"CF","0_36",,,,,6,"CH4",,,,"peatlands",,"Lai2009","lab",,"Dunfield1993","https://doi.org/10.1016/0038-0717(93)90130-4"
,"F1","0_37",,,,,5.3,"CH4",,,,"bog",,"Lai2009","lab",,"Dunfield1993","https://doi.org/10.1016/0038-0717(93)90130-4"
,"B1","0_38",,,,,6.3,"CH4",,,,"bog",,"Lai2009","lab",,"Dunfield1993","https://doi.org/10.1016/0038-0717(93)90130-4"
"1985","488419200","0_25",,,,,4.99,"CH4",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1985","496972800","0_25",,,,,4.06,"CH4",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1985","499651200","0_25",,,,,5.43,"CH4",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1985","507081600","0_25",,,,,3.84,"CH4",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1985","488419200","0_25",,,,,2.89,"DN",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1985","496972800","0_25",,,,,2.84,"DN",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1985","499651200","0_25",,,,,2.9,"DN",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1985","507081600","0_25",,,,,3.02,"DN",,,,"swamp",,"Dunfield1993","lab",,"Westermann1987","https://doi.org/10.1128/AEM.53.10.2554-2559.1987"
"1976","frains lake","9_29",,,,,2.4,"CH4","42_17'N","83_40'W",,"lake",,"Dunfield1993","lab",,"Kelly1981","https://doi.org/10.4319/lo.1981.26.5.0891"
,,,,,,,2,"DN",,,,,,"Westermann1989","lab","no access","Stanford1975","https://doi.org/10.2136/sssaj1975.03615995003900050024x"
,"Sphagnum",,,,,,3.2,"CH4",,,,,,"Lupascu2018","lab","repeat from above","Lupascu2018","https://doi.org/10.1657/1938-4246-44.4.469"
,,,,,,,2,"CO2",,,,"peat",,"Lupascu2018","lab","repeat from above","Bridgham1992","https://doi.org/10.1016/0038-0717(92)90058-6"
,,,,,,,3,"CO2",,,,"peat",,"Lupascu2018","lab","repeat from above","Bridgham1992","https://doi.org/10.1016/0038-0717(92)90058-6"
,"hummock-peat","4_25",,,,,4.5,"CH4","58_52.55'N","26_14.87'E",,"bog",,"Lupascu2018","field",,"Frenzel2000","https://doi.org/10.1023/A:1006351118347"
,"hollow-peat","4_25",,,,,6.8,"CH4","58_52.55'N","26_14.87'E",,"bog",,"Lupascu2018","field",,"Frenzel2000","https://doi.org/10.1023/A:1006351118347"
,,"2_25",,,,,20,"CH4",,,,"peat bog",,"Frenzel2000","field",,"Nedwell1995","https://doi.org/10.1016/0038-0717(95)00018-A"
,"unsaturated","5_24",,,,,8.1,"CH4",,,,"wetland",,"Lupascu2018","lab","coastal meadow","Prieme1994","https://doi.org/10.1016/0038-0717(94)90190-2"
,"unsaturated","5_24",,,,,8.7,"CH4",,,,"wetland",,"Lupascu2018","lab","fen","Prieme1994","https://doi.org/10.1016/0038-0717(94)90190-2"
,"saturated","5_24",,,,,3.1,"CH4",,,,"wetland",,"Lupascu2018","lab","coastal meadow","Prieme1994","https://doi.org/10.1016/0038-0717(94)90190-2"
,"saturated","5_24",,,,,3.1,"CH4",,,,"wetland",,"Lupascu2018","lab","fen","Prieme1994","https://doi.org/10.1016/0038-0717(94)90190-2"
,,,,,,,,,,,,,,"Lupascu2018",,,"Updegraff1995","https://doi.org/10.2307/1942060"
,,,,,,,,,,,,,,"Lupascu2018",,,"Segers1998","https://doi.org/10.1023/A:1005929032764"
,"C-rostrata","2_11",,,,,2.9,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","upper peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"C-rostrata","2_11",,,,,5.7,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","lower peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"C-rostrata","11_20",,,,,1,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","upper peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"C-rostrata","11_20",,,,,1.6,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","lower peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"C-rostrata","10_20",,,,,2.6,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","upper peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"C-rostrata","10_20",,,,,1.9,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","lower peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-majus","2_11",,,,,5.3,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","upper peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-majus","2_11",,,,,4.5,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","lower peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-majus","11_20",,,,,1.4,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","upper peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-majus","11_20",,,,,3.6,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","lower peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-majus","10_20",,,,,3.2,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","upper peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-majus","10_20",,,,,4.4,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","lower peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-fuscum","2_11",,,,,7,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","upper peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
,"S-fuscum","2_11",,,,,35,"CH4","63_44'N","20_06'E",,"mire",,"Lupascu2018","lab","lower peat","Bergman1998","https://doi.org/10.1016/S0038-0717(97)00181-8"
